Highlighted Clause,Plain Language Summary
"You agree not to reproduce, duplicate, copy, sell, trade, resell or exploit for any commercial purposes, any portion of the service","You can't use any part of the service for your own commercial benefit, such as selling or trading, without being part of the reseller service."
Infinityfree reserves the right to suspend service at any time without prior notice if a service is affected or degraded,"The company can shut down its service whenever it wants, without giving you prior notice, especially if your use affects the service's performance."
Infinityfree shall have the right to remove any content that violates the ToS or is otherwise objectionable,The company can delete any of your content if it breaks their rules or they find it inappropriate.
Cause for such termination shall include breaches or violations of the ToS or other incorporated agreements or guidelines,Your account can be closed if you break the terms or any other related rules.
"You are responsible for those fees, including those fees associated with the display or delivery of advertisements","You must pay for all costs related to your use of the service, including ad-related charges."
Infinityfree's proprietary rights are protected by intellectual property and other laws,"The service owns its technology and content, which are legally protected, and you must respect that."
"You acknowledge that Infinityfree may or may not pre-screen content, but shall have the right to pre-screen, refuse or remove any content","The company has the right (but not the obligation) to check, reject, or delete any content on its service."
"You must provide accurate, current, and complete information during the registration process, and keep it updated",You need to give true and up-to-date information when you sign up and keep it current.
"Upon receipt of a death certificate, your account may be terminated and all contents permanently deleted",Your account and its content will be deleted permanently once the company gets a copy of your death certificate.
Any claim or cause of action related to the service must be filed within one (1) year after such claim or cause of action arose,"If you have a legal claim related to the service, you must file it within one year."
"Infinityfree may provide you with notices, including changes to the ToS, by email, regular mail or postings on the service","The company will inform you about any changes to the terms through email, mail, or on their service."
"Infinityfree may, under certain circumstances and without prior notice, immediately terminate your account",Your account can be shut down immediately without warning under certain conditions.
Infinityfree will not be liable for any loss or damage from your use of the service,The company isn't responsible for any harm or losses you might face from using the service.
You understand that the technical processing and transmission of the service may involve transmissions over various networks,Your use of the service will result in data transmissions across different networks that the company doesn't own.
Infinityfree is not responsible for any changes in services provided by a 3rd party provider,The company isn't accountable for changes or issues with services from other companies they work with.
Infinityfree may use advert blockers to subsidize the costs of running the service,The company may use ads and block ad-blocking tools to help pay for the service they provide.
