Highlighted Clause,Plain Language Summary
We reserve the right to revoke the trial and put your account on hold in the event that we determine that you are not eligible.,Blooket may cancel your trial and suspend your account if they find you don't qualify for the trial.
"If you have signed up for paid subscriptions, you may use the services for commercial purposes, only if and to the extent such commercial use is permitted under the selected service plan.",You can only use Blooket's services for business if your paid subscription plan allows it.
You agree not to access or use the services for any purpose that is illegal or beyond the scope of the services’ intended use (in Blooket’s sole judgment).,Don't use Blooket for illegal activities or in ways not intended by the service.
"We reserve the right to change your display name if we deem it offensive, misleading, potentially infringing the rights of third parties or if you have been inactive for more than a year.",Blooket can change your username if it's inappropriate or if your account hasn't been used in over a year.
We will not refund any subscription fees already paid to us.,Blooket does not give refunds for subscription fees you've already paid.
"Paid subscriptions cannot be terminated before the end of the period for which you have already paid, and except as expressly provided in these terms, Blooket will not refund any fees that you have already paid.",You can't end a paid subscription early and get your money back unless it's specifically allowed in the terms.
"Governing law and jurisdiction any dispute or claim by you arising out of or related to these terms shall be governed by Delaware law, exclusive of its choice of law rules.",Any legal issues related to these terms will be handled under the laws of Delaware.
You and Blooket agree to make a good-faith effort to negotiate any dispute between us for at least 30 days (“informal resolution”).,Try to resolve disagreements with Blooket amicably for at least 30 days before taking further action.
These terms contain a binding class-action waiver provision.,You can't participate in a class-action lawsuit against Blooket; disputes must be handled individually.
"To the full extent permissible by law, Blooket disclaims all warranties, express or implied, including, but not limited to, implied warranties of merchantability and fitness for a particular purpose.",Blooket isn't making any promises about the services working exactly as you might expect or fitting a specific need.
Blooket may offer additional subscription offers which are subject to these same terms and conditions.,Any new subscription deals from Blooket also follow these terms.
"To the full extent permissible by law, Blooket will not be liable for any loss of profits or any indirect, incidental, punitive, special or consequential damages arising out of or in connection with these terms.",Blooket won't be responsible for any lost profits or damages that happen because of these terms.
"Blooket also has the right to terminate your access to all or part of the services for any or no reason, including without limitation, any violation of these terms.","Blooket can end your access to the services for breaking the rules, or for no specific reason at all."
You should check this page regularly to take notice of any changes.,Keep checking the terms of service page to stay updated on any changes.
"Blooket may change the price for the paid subscriptions from time to time, and will communicate any price changes to you in advance and, if applicable, how to accept those changes.",Blooket can change subscription prices and will let you know before they do.
Blooket takes no responsibility and assumes no liability for any content posted by you or any third party.,Blooket isn't responsible for what you or anyone else posts on their service.
"If you do not want to be charged, you must cancel your paid subscriptions through your Blooket account’s settings or terminate your Blooket account before the end of the trial.",You need to cancel your subscription or delete your account before the trial ends to avoid being charged.
