text,highlighted
2.,0
Mobygames and the mobygames logo are trademarks of blue flame labs.,0
"Licensor does not endorse nor is responsible for the accuracy or reliability of any opinion, advice or statement, nor for any offensive, defamatory, obscene or illegal posting or conduct, on mobygames, including, without limitation, all contribution features of mobygames, by anyone other than authorized licensor employees while acting in their official capacities.",1
"Licensee agrees not to modify, publish, transmit, participate in the transfer or sale, create derivative works, or in any way commercially exploit the mobygames web site unless authorized to do so in writing by licensor.",1
"Please seek the advice of professionals, as appropriate, regarding the evaluation of any specific information, opinion, advice or other content.",0
"Further, by submitting content, you assign all worldwide rights, title and interest in and to such content to mobygames, including all copyrights in any form, media, or technology now known or later developed.",1
"You agree not to hold licensor responsible or liable, directly or indirectly, for any damage or loss caused or alleged to be caused by or in connection with use of or reliance on any such external sites or resources.",0
Ii.,0
You waive any and all moral rights that you may have in the content.,1
"Limitation of liability the disclaimers of liability contained in this section apply to any damages or injury caused by any failure of performance, error, omission, interruption, deletion, defect, delay in operation or transmission, computer virus, communication line failure, theft or destruction or unauthorized access to, alteration of, or use of mobygames, whether for breach of contract, tortious behavior, negligence, or under any other cause of action.",0
"Licensor does not endorse, warrant or guarantee any product or service offered by a third party through mobygames and licensor will not be a party to or in any way monitor any transaction between you and third parties.",0
"In the event any claim relating to the performance or nonperformance by licensor pursuant to this agreement, or in any other way concerning mobygames, is made by you, the actual damages to which you may be entitled shall be limited to the fees, if any, paid by you for use of mobygames.",1
"Mobygames and all material contained therein are provided on an ""as is"" basis without warranties of any kind, either express or implied, including, without limitation, warranties of title or non-infringement or implied warranties of merchantability or fitness for a particular purpose , other than those warranties which are incapable of exclusion, restriction or modification under the laws applicable to this agreement.",0
"Nor do they make any warranty as to the results that may be obtained from use of mobygames or as to the accuracy, reliability, quality or content of any information, service or merchandise provided on or through mobygames , including, without limitation, all licensor contribution features.",0
Undertake or assist in any action that adversely affects the availability of any mobygames web site resources to other users.,0
Otherwise misrepresent your affiliation with a person or entity.,0
"Use of mobygames, including, without limitation, all contribution features of mobygames, is at your sole risk.",0
The notice shall show the change and the date on which the change shall become a part of these terms of service and thereby become effective.,1
The licensor and licensee hereto agree hereby consent to binding arbitration using the american arbitration association.,1
"In the event that either party fails to proceed with arbitration, unsuccessfully challenges the arbitrator's award, or fails to comply with the arbitrator's award, the other party is entitled to costs of suit, including a reasonable attorney's fee for having to compel arbitration or defend or enforce the award.",0
Copyright and trademark notices the mobygames web site is copyright â© 1999-2014 blue flame labs.,0
"It is your responsibility to evaluate the accuracy, completeness or usefulness of any information, opinion, advice or other content available through mobygames, including, without limitation, all contribution features of mobygames.",0
Arbitration and governing law disputes arising under this terms of service shall be governed by and interpreted and construed in accordance with the substantive law (and not the law of conflicts) of the state of illinois.,0
General 1.,0
4.,0
The balance of this terms of service shall be enforceable in accordance with its terms.,0
"By continuing to use mobygames after the posted effective date of the change, you agree to and accept the changed terms of service.",1
All rights reserved.,0
I.,0
"Post or transmit any unsolicited advertising, promotional materials, ""junk mail,"" ""spam,"" ""chain letters,"" ""pyramid schemes,"" or any other form of solicitation.",0
Post or transmit any content that contains a virus or corrupted data.,0
"Intellectual property by submitting (e.g., uploading or otherwise transmitting) content to the mobygames web site, you warrant that you have all rights necessary to submit such content free and clear of any rights of any third party.",0
"Terms of service this is a terms of service agreement (""license"") between you (""licensee"") and blue flame labs d/b/a mobygames (""licensor"") governing your use of the content of and services provided by the mobygames site on the world wide web (hereinafter, the mobygames web site).",0
"No waiver, alteration, or modification of any of the provisions of this terms of service shall be binding unless in writing and signed by an authorized representative of the licensor.",1
"Licensor is not responsible for the availability of such external sites or resources, and does not endorse and is not responsible or liable for any content, advertising, products, or other materials on or available from such sites or resources.",1
"Entire agreement this terms of service is the entire agreement of the licensor and licensee and supersedes any prior agreements, negotiations, or understandings between them, whether written or oral, with respect to the subject matter hereof.",0
"Severability if any provision of this terms of service becomes or is declared by a court of competent jurisdiction to be illegal, unenforceable or void, portions of such provision, or such provision in its entirety, to the extent necessary, shall be severed from this terms of service, and such court will replace such illegal, unenforceable or void provision of this terms of service with a valid and enforceable provision that will achieve, to the extent possible, the same economic, business and other purposes of the illegal, unenforceable or void provision.",0
"Injunctive relief in addition to any other available relief, licensor and licensee agree that any commercial use of material obtained from the mobygames web site including modification, publishing, transmission or participating in the transfer, sale or creation of derivative works, or in any way commercially exploiting the mobygames web site unless authorized to do so in writing by licensor will result in irreparable harm to licensor, with damages that cannot be ascertained or compensated by monetary awards.",0
"And intentionally or unintentionally violate any applicable local, state, national or international law, rule or regulation.",0
Links the message boards may provide (and users may include in messages) links to other web sites or resources.,0
"Delete any author attributions, legal notices or proprietary designations or labels associated with any content.",0
"Licensor grants to licensee the right to use the mobygames web site for licensees personal, non-commercial use.",0
3.,0
"Under no circumstances will licensor, or any person or entity involved in creating, producing or distributing any content or services contained on mobygames, or any of their respective directors, officers, employees or agents, be liable for any loss or damage caused by your reliance on information obtained on or through mobygames, including, without limitation, all licensor contribution features.",0
You agree not to interrupt or attempt to interrupt the operation of mobygames in any way.,0
"You agree to indemnify and hold licensor harmless from any claim or demand, including reasonable attorneys' fees, made by any third party due to or arising out of your violation of these terms of service or arising out of your violation of any rights of a third party.",1
"Rules of conduct you agree not to transmit any message, information, data, text, software or graphic files, or other materials (""content"") that is unlawful, harmful, threatening, abusive, harassing, tortuous, defamatory , vulgar, obscene , libelous, that may be invasive of another's right of privacy or publicity, hateful, racially, ethnically or otherwise objectionable.",0
"And that, on that basis, licensee agrees that the licensor is entitled to, and may seek and obtain, without the requirement to post bond, any injunctive or immediate legal, equitable, administrative, or other relief available in the country, state, or other jurisdiction appropriate.",0
Iii.,0
"Impersonate any person or entity, including but not limited to, an administrator.",0
"Disclaimer of liability neither licensor, nor any person or entity involved in creating, producing or distributing any content or services contained on mobygames, nor any of their respective directors, officers, employees or agents, make any warranty whatsoever, including, without limitation, that mobygames will be uninterrupted or free of errors.",0
Mobygames policies and procedures general terms and conditions 1.,0
Licensor and licensee shall be responsible for their own share of the arbitration fees in accordance with the applicable rules of arbitration.,0
Iv.,0
"In no event will licensor or any person or entity involved in creating, producing or distributing any content or services contained on mobygames, or any of their respective directors, officers, employees or agents, be liable for (a) any direct, indirect, special, incidental, or consequential damages arising out of or related to (i) the use of or inability to use mobygames, (ii) the breach of any representation or warranty, (iii) the use by you of mobygames of any browser owned or operated by any party and/or (iv) the downloading of any software owned or operated by any third party, in connection with mobygames or (b) any indirect, special, incidental, or consequential damages arising out of or related to mobygames, even if licensor was previously advised of the possibility of such damages.",0
Licensor may change any part of this agreement at any time by posting a notice of such change at www.mobygames.com/info/terms/change.,1
