text,highlighted
"(5) your violation of the rights of a third party, including but not limited to intellectual property rights.",0
Use the site as part of any effort to compete with us or otherwise use the site and/or the content for any revenue-generating endeavor or commercial enterprise.,0
"Your contributions do not include any offensive comments that are connected to race, national origin, gender, sexual preference, or physical handicap.14.",0
We bill you through an online billing account for purchases made via the site.,0
You agree to keep your password confidential and will be responsible for all use of your account and password.,1
(2) use of the site.,0
"We shall own exclusive rights, including all intellectual property rights, and shall be entitled to the unrestricted use and dissemination of these submissions for any lawful purpose, commercial or otherwise, without acknowledgment or compensation to you.",0
(6) make the application available over a network or other environment permitting access or use by multiple devices or users at the same time.,0
We do not assert any ownership over your contributions.,1
"Third-party websites and content the site may contain (or you may be sent via the site) links to other websites (""third-party websites"") as well as articles, photographs, text, graphics, pictures, designs, music, sound, video, information, applications, software, and other content or items belonging to or originating from third parties (""third-party content"").",0
"If such software is not accompanied by a eula, then we grant to you a non-exclusive, revocable, personal, and non-transferable license to use such software solely in connection with our services and in accordance with these terms of use.",0
"Systematically retrieve data or other content from the site to create or compile, directly or indirectly, a collection, compilation, database, or directory without written permission from us.",0
"We will alert you about any changes by updating the âlast updatedâ date of these terms of use, and you waive any right to receive specific notice of each such change.",1
"Site management we reserve the right, but not the obligation, to: (1) monitor the site for violations of these terms of use.",0
"We do not warrant, endorse, guarantee, or assume responsibility for any product or service advertised or offered by a third party through the site, any hyperlinked website, or any website or mobile application featured in any banner or other advertising, and we will not be a party to or in any way be responsible for monitoring any transaction between you and any third-party providers of products or services.",0
Use the site to advertise or offer to sell goods and services.,0
12 .,0
"To the fullest extent permitted by law, we disclaim all warranties, express or implied, in connection with the site and your use thereof, including, without limitation, the implied warranties of merchantability, fitness for a particular purpose, and non-infringement.",0
"(3) in our sole discretion and without limitation, refuse, restrict access to, limit the availability of, or disable (to the extent technologically feasible) any of your contributions or any portion thereof.",0
It is your responsibility to periodically review these terms of use to stay informed of updates.,1
"Apple and android devices the following terms apply when you use a mobile application obtained from either the apple store or google play (each an âapp distributorâ) to access the site: (1) the license granted to you for our mobile application is limited to a non-transferable license to use the application on a device that utilizes the apple ios or android operating systems, as applicable, and in accordance with the usage rules set forth in the applicable app distributorâs terms of service.",0
All payments shall be in euros.,0
"Engage in any automated use of the system, such as using scripts to send comments or messages, or using any data mining, robots, or similar data gathering and extraction tools.",0
(8) use the application to send automated queries to any website or to send any unsolicited commercial e-mail.,0
"If you access the site from any other region of the world with laws or other requirements governing personal data collection, use, or disclosure that differ from applicable laws in germany, then through your continued use of the site, you are transferring your data to germany, and you agree to have your data transferred to and processed in germany.",0
Copyright infringements we respect the intellectual property rights of others.,0
"When we remove content for policy violations, including dmca takedowns, the user who made the content available may be notified of the violation via email.",0
"User representations by using the site, you represent and warrant that: (1) all registration information you submit will be true, accurate, current, and complete.",0
"We reserve the right to correct any errors or mistakes in pricing, even if we have already requested or received payment.",0
Your contributions do not violate the privacy or publicity rights of any third party.11.,0
"Circumvent, disable, or otherwise interfere with security-related features of the site, including features that prevent or restrict the use or copying of any content or enforce limitations on the use of the site and/or the content contained therein.",0
"Your contributions are not false, inaccurate, or misleading.",0
19 .,0
(2) to re-categorize any contributions to place them in more appropriate locations on the site.,0
2 .,0
"(5) use the application for any revenue generating endeavor, commercial enterprise, or other purpose for which it is not designed or intended.",0
The site may not be used in connection with any commercial endeavors except those that are specifically endorsed or approved by us.,0
"You hereby waive all moral rights to any such submissions, and you hereby warrant that any such submissions are original with you or that you have the right to submit such submissions.",0
Prohibited activities you may not access or use the site for any purpose other than that for which we make the site available.,0
The information provided on the site is not intended for distribution to or use by any person or entity in any jurisdiction or country where such distribution or use would be contrary to law or regulation or which would subject us to any registration requirement within such jurisdiction or country.,0
