Highlighted Clause,Plain Language Summary
The materials on the services are provided on an ‘as is’ basis.,The content on the website is offered without any guarantees or promises about its correctness or completeness.
"KC Online Media, LLC does not warrant that any of the materials on its website are accurate, complete or current.","The company does not assure that the materials on the website are up-to-date, complete, or free from errors."
"This is the grant of a license, not a transfer of title, and under this license you may not: modify or copy the materials.","You're allowed to use the materials from the website only temporarily, and you can't alter or make copies of them."
"In no event shall KC Online Media, LLC or its suppliers be liable for any damages arising out of the use or inability to use the materials on the services.","The company and its providers won't be responsible for any harm or losses that happen because you used, or couldn't use, the website's materials."
"KC Online Media, LLC may revise these terms of service for its website at any time without notice.","The company can change the Terms of Service whenever they wish, and they don't have to inform you beforehand."
"By accessing the website at http://xda-developers.com or the “XDA” mobile applications (the “services”), you are agreeing to be bound by these terms of service.","If you use the services or the mobile app, you're agreeing to follow these Terms of Service."
"KC Online Media, LLC has not reviewed all of the sites linked to from the services and is not responsible for the contents of any such linked site.",The company hasn't checked all the external websites linked from their service and isn't responsible for what's on those sites.
"We have a privacy policy covering the collection, use, and disclosure of user information.","The company has a privacy policy in place that describes how they collect, use, and share your information."
You automatically grant and assign to us... a worldwide license to use any content that you post.,"By posting content, you're giving the company the right to use that content anywhere in the world."
Sponsored content policy XDA sometimes publishes content in coordination with sponsors.,The website might post content that is created alongside or because of sponsorships.
When relevant we will provide full disclosure of this fact within the content.,"If there's any sponsored content, the website promises to clearly disclose that the content is sponsored."
