Highlighted Clause,Plain Language Summary
"We may stop, suspend, or modify the services at any time without prior notice to you.","Overleaf can change, pause, or stop their services whenever they want without telling you beforehand."
"Whenever we make such transfers, we will ensure an appropriate level of protection is afforded to your personal data.","If Overleaf transfers your data, especially across countries, they will make sure it's protected according to standards."
"Depending on your preferences, we may send you marketing communications.",Overleaf might send you marketing emails or messages based on your settings and preferences.
"If you are using the services on behalf of an organization, you are agreeing to these terms for that organization.","If you represent a company or group while using Overleaf, the company or group is also agreeing to Overleaf's terms."
"We take appropriate technical and organisational security measures to protect personal data from accidental or unlawful destruction, accidental loss and unauthorised access, destruction, misuse, modification or disclosure.",Overleaf uses technical and organizational measures to keep your personal data safe from various types of harm or unauthorized access.
"By using our services, you may provide us with information, files, and folders.","When you use Overleaf's services, you might give them access to your personal files and information."
"The service is provided for your own non-commercial, internal and personal use.","You are allowed to use Overleaf services for personal, non-commercial reasons."
"We may need your permission to do things you ask us to do with your stuff, for example, hosting your files, or sharing them at your direction.",Overleaf might need your approval to perform tasks like storing your files or sharing them as you instruct.
"For the avoidance of doubt, nothing in these terms shall impose additional obligations on that organization.",Overleaf's terms won't create new responsibilities for the company or group you represent beyond those already outlined in the terms.
You may use the services only if you have the power to form a contract with us and are not barred under any applicable laws from doing so.,You can only use Overleaf's services if you are legally able to enter into contracts and not prohibited by any laws from doing so.
We are entitled to a reasonable extension of time for performing its obligations if a delay is caused.,"If something delays Overleaf, they can take extra time to meet their obligations."
The service is owned by or licensed to writelatex and protected by various intellectual property rights and laws.,Overleaf or its parent company WriteLatex legally owns its service and is protected by intellectual property and other laws.
"We reserve the right to suspend the provision of any part of the services, or terminate our agreement to provide services to you for non-payment or any deliberate or material breach.",Overleaf can stop providing its services or end your agreement with them if you don't pay or if you significantly break their rules.
