Highlighted Clause,Plain Language Summary
You may not assign or transfer any of your rights or obligations under these terms without our consent.,You're not allowed to give your rights or responsibilities from this agreement to someone else without getting our permission first.
Access to certain services or features of the services may be subject to age restrictions and not available to all users of the services.,Some services or features might have age limits and might not be available to every user.
"Your account with us to access or use some of our services, you must create an account with us.","To use some parts of our services, you need to create an account with us."
The limitations of this section will apply to any theory of liability.,The limits on what you can blame us for apply no matter what the legal reason is.
"If any provision of these terms is, for any reason, held to be illegal, invalid or unenforceable, the rest of the terms will remain in effect.","Even if one part of this agreement isn't legal or can't be enforced, the rest of the agreement still applies."
Our failure to exercise or enforce any right or provision of these terms will not operate as a waiver of such right or provision.,Just because we don't enforce our rights or parts of this agreement at any time doesn't mean we're giving them up.
"Once you choose to delete your account, you will not be able to reactivate your account or retrieve any of the content or information you have added.","If you delete your account, you can't get it or any of the content you added back."
We amend these terms from time to time.,"We change the terms sometimes, like when we add new features or there are new laws."
"The services are provided ""as is"" and ""as available"" without warranties of any kind.",We don't promise that the services will meet your needs or be perfect.
"Project z, its licensors, and its third-party service providers do not warrant that the services are accurate, complete, reliable, current, or error-free.","We and our partners can't guarantee that everything in the services will be correct, up-to-date, or work all the time without mistakes."
In no event will the aggregate liability of the project z entities exceed the greater of one hundred U.S. Dollars ($100) or any amount you paid project z in the previous six months for the services giving rise to the claim.,We won't have to pay you more than $100 or the amount you've paid us in the past six months over any issue with the services.
"By submitting your content to the services, you represent and warrant that you have all rights, power, and authority necessary to grant the rights to your content contained within these terms.","When you give us your content, you're confirming that you have the right to do so and that you're giving us permission to use it."
You agree that you are solely responsible (to us and to others) for the activity that occurs under your account.,You're the only one responsible for what happens with your account.
"If you are accessing or using the services on behalf of a business or entity, then you are responsible for all use of the services by your employees, agents, or contractors.","If you're using the services for a company, the company is responsible for how its workers, agents, or contractors use the services."
Please take the time to read them carefully.,It's important that you read and understand these terms.
