Highlighted Clause,Plain Language Summary
"When you transmit, stream, communicate, record, receive, and/or store content to or through the service, you give 8×8 a worldwide license to use, host, store, reproduce, modify, create derivative works, communicate, publish, publicly perform, publicly display, and distribute such content solely for the limited purpose of operating and enabling the service to work as intended for you and for no other purposes.","When you use Jitsi, you are allowing 8×8 to utilize the content you share for the purpose of operating the service as it's intended for your use."
"8×8 may – in its sole discretion, at any time, with or without notice, and without any obligation or liability to you or any other party – suspend, alter, or stop providing the service to you or any other party for any or no reason.","8×8 can change, pause, or completely stop providing their service to you or others at any time, without any prior notice or any responsibility to you."
"The business user is responsible for the activities of participants who use the service on behalf of or as a result of the business user, and the business user agrees to ensure that any and all such participants will comply with these terms.","If you're a business using Jitsi, you're responsible for making sure everyone using the service on your behalf follows Jitsi's rules."
"The laws of the state of New York, U.S.A., excluding New York’s conflict of laws rules, will apply to any disputes arising out of or relating to these terms or the service.","Any legal issues related to using Jitsi will be handled under the laws of the state of New York, USA."
"Waiver of class action the parties expressly waive any right to bring any action, lawsuit, or proceeding as a class or collective action, private attorney general action, or any other proceeding in which any party acts or proposes to act in a representative capacity.",Users waive their right to participate in class action lawsuits or other collective legal proceedings against Jitsi.
8×8 offers paid services designed to meet the needs of business users; the service is intended for reasonable use at commercially acceptable volumes.,"Jitsi has paid services available especially for businesses, meant for standard commercial use levels."
You retain ownership of any intellectual property rights that you hold in your content.,You keep the rights to any original content or intellectual property you share through Jitsi.
"8×8 is not liable for any claims, damages or loss which arise from this limitation.",8×8 won't be responsible for any losses or damages related to the limitations of the service.
"8×8 gives you a personal, worldwide, royalty-free, non-assignable and non-exclusive license to use any software application provided to you by 8×8 as part of the service.","Jitsi gives you the right to use its software applications worldwide for free, but you cannot transfer this right to others."
"8×8 may – in its sole discretion, at any time, with or without notice, and without any obligation or liability to you or any other party – suspend, terminate, limit, change, modify, downgrade, and/or update the service.","8×8 can make changes or stop its service at any point, without notice and without being responsible to the user."
"Liability for the service when permitted by law, 8x8 will not be responsible for lost profits, revenues, or data, financial losses or indirect, special, consequential, exemplary, or punitive damages.","If legally allowed, Jitsi won't be liable for your lost earnings, data, or any other financial damages or losses that come from using the service."
"You shall be solely responsible and liable for your use of the service, including for any and all content transmitted, streamed, communicated, recorded, received, and/or stored to or through the service by you.",You're fully responsible for how you use Jitsi and any content you send or receive through it.
Privacy 8×8’s privacy policy explains how we treat your personal data and protect your privacy when you use the service.,Jitsi's privacy policy outlines how your personal data is handled and your privacy is protected while using the service.
