Highlighted Clause,Plain Language Summary
You represent and warrant that you have the legal right to use all payment methods that you provide to us.,You promise that you are legally allowed to use any form of payment you submit to us.
"In the event of any loss or corruption of any data associated with the services, figma will use commercially reasonable efforts to restore the lost or corrupted data from the latest relevant backup maintained by figma.","If your data is lost or corrupted, Figma will try to recover it using their latest backup."
"Figma will not be responsible for any loss, destruction, alteration, unauthorized disclosure or corruption of any data.",Figma is not responsible for any damage or unauthorized access to your data.
We may also periodically authorize your payment method in anticipation of applicable fees or related charges.,We might check your payment method in advance to make sure it can cover upcoming fees or charges.
"Upon any termination, discontinuation, or cancellation of services or your account, the following provisions of these terms will survive: service terms, charges and payment (to the extent you owe any fees at the time of termination).","Even if your account or services are ended, you're still responsible for any outstanding payments."
"If you continue to use the services after such a change, you are indicating that you agree to the modified terms.","If you keep using the services after we change these terms, it means you accept the new terms."
"To cancel, you can either (i) email us at support@figma.com and follow any instructions, if any, we provide to you in response to your cancellation request, or (ii) for some kinds of subscriptions, initiate a cancellation through your account settings within the services.","You can cancel by emailing support@figma.com or, for some subscriptions, through your account settings."
You may cancel your account at any time by sending an email to support@figma.com.,You can shut down your account by emailing Figma's support.
"Figma will not be liable for, or be considered to be in breach of or default under these terms on account of, any delay or failure to perform as required by these terms as a result of any cause or condition beyond its reasonable control, so long as it uses commercially reasonable efforts to avoid or remove those causes of non-performance.","Figma is not at fault if they can't fulfill their obligations due to events out of their reasonable control, as long as they try to fix the problem."
"Notwithstanding anything to the contrary in the terms, all early access features are provided ""as is"" without warranty of any kind and without any performance obligations.",Features that are in early access are offered without any promises or warranties.
"The recipient will not disclose the discloser’s confidential information to parties other than the recipient’s employees, contractors, affiliates, agents, or professional advisors (“representatives”) who need to know it and who have a legal obligation to keep it confidential.",Any confidential information you share with Figma can only be given to people who need to know it and who are legally required to keep it secret.
The limitations in this section 9 will apply to the maximum extent not prohibited by law and notwithstanding the failure of essential purpose of any limited remedy in this agreement.,"The limitations on Figma's liability are as broad as the law allows, even if any remedy found in these terms doesn't work as intended."
Figma respects copyright law and expects its users to do the same.,Figma follows copyright laws and expects you to do the same.
"Changes to the terms or services we may modify the terms at any time, at our sole discretion.",Figma can change these terms whenever they want.
"By entering into these terms, you and Figma are each waiving the right to trial by jury.",You and Figma give up the right to have a jury trial to settle disputes.
"All pricing plans involve recurring fees (each, along with any applicable taxes and other charges are a “subscription fee”).","All payment plans involve ongoing charges, including taxes and other possible fees."
Figma may immediately and without notice remove early access features for any reason without liability to you.,Figma can remove early access features at any time without owing you anything.
You must also comply with all applicable third party terms of service when using the app.,"When using Figma's app, you have to follow the terms of service of any third parties involved."
"All fees are stated and solely payable in U.S. Dollars, non-refundable, and not subject to setoff.","All fees are in US dollars, can't be refunded, and can't be reduced by any amounts you may think we owe you."
