Highlight,Summary
"the total liability of the company and the other company parties, for any claim arising out of or relating to these terms or our services, regardless of the form of the action, is limited to the greater of any amount paid, if any, by you to access or use our services or $100 usd","The company will only pay up to $100 USD or the amount you paid for the service if a legal claim arises, no matter what the cause is."
"our services are provided as is and as available without warranties of any kind, either express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, title, and non-infringement.","The services from this company come 'as is' with no guarantees, like being fit for your use or free from errors."
amendment we reserve the right to change these terms from time to time upon notice to you.,"The company can change these terms whenever they want, as long as they notify you."
you assume the entire risk as to the quality and performance of the services,Using the service is entirely at your own risk.
"enforcement of the content rules set forth in these terms is solely at our discretion, and subject to our technical capabilities.",Only the company decides if someone breaks the content rules and what to do about it.
"the services allow hosts to make available storage space ( space ) on the host s device for the storage of content published through lbry by making available space on your device, you authorize any user of our services to: (i) store content published through lbry onto your device.","If you share storage space through the service, other users can put content on your device."
purchaser is buying the right to access content for personal non-commercial use unless content creator provides a license for commercial use or remixing,"When you buy content, you're only supposed to use it for yourself unless given permission otherwise."
"further, a dispute cannot be brought as a class or other type of representative action, whether within or outside of arbitration, or on behalf of any other individual or group of individuals",You can't join a group lawsuit about these terms; you have to deal with problems on your own.
"the services provide an interface for you to interact with lbry, including to publish, access, or host content through lbry.","The service lets you interact with LBRY, which includes publishing and accessing hosted content."
"we will own exclusive rights, including, without limitation, all intellectual property rights, in and to feedback and will be entitled to the unrestricted use and dissemination of feedback for any purpose, commercial or otherwise, without acknowledgment or compensation to you",Any ideas or feedback you give to the company about improving their services can be used by them without paying or acknowledging you.
arbitration please read the following section carefully because it requires you to arbitrate certain disputes and claims with the company and limits the manner in which you can seek relief from us,"Read this section carefully because if you have a problem with the company, you might have to settle it through arbitration instead of in court."
"severability if any term, clause or provision of these terms is held invalid or unenforceable, then that term, clause or provision will be severable from these terms and will not affect the validity or enforceability of any remaining part of that term, clause or provision, or any other term, clause or provision of these terms.","If part of these terms is not valid, the rest still apply."
"if we make changes to these terms, we will provide notice of such changes by posting the revised terms to the services and updating the last updated date at the top of these terms.",The company will let you know if there are changes to these terms by posting them to the service.
all rights and licenses granted to you under these terms will immediately be revoked upon our termination of the agreement or our suspension of your access to the services.,"If the company ends your use of the service, all the special permissions you had end too."
"or personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural persons sex life or sexual orientation contains viruses, corrupted data or other harmful, disruptive or destructive files.","The company won't deal with sensitive personal data in a certain way, like using it for ads without permission."
accessing content this section applies if you use the services to access content that has been stored through lbry,"If you use the service to access content, this part applies to you."
"you agree to promptly notify company parties of any third party claims, cooperate with company parties in defending such claims and pay all fees, costs and expenses associated with defending such claims (including, but not limited to, attorneys fees).","If a third party takes the company to court because of something you did, you have to pay for the costs."
you may terminate this agreement without notice by discontinuing use of the services.,You can stop using the service at any time without telling the company.
c) all payments for content will be made using lbc and occur on the lbry blockchain.,"When you buy content, you pay with LBRY Credits on the LBRY blockchain."
"if you are a parent or legal guardian of a user under the age of 18 (or the age of legal majority), you will be fully responsible for the acts or omissions of such user in connection with our services.",Parents are responsible for what their kids do on the service.
"survival the following sections will survive the expiration or termination of these terms: all defined terms and sections 12 - 18, 21 and 22",Certain parts of these terms will still be in effect even if your agreement with the company ends.
