Highlighted Clause,Plain Language Summary
We are not responsible for any lost or restriction of access to your account or information.,The company is not accountable if you lose access to your account or your information is restricted.
You may not use this site in connection to any commercial purposes without specific approval from the admin team.,You're not allowed to use the site for business-related activities unless you get permission from the site's administrators.
"You agree that we have no liability whatsoever for any loss, damage, or inconvenience caused by your inability to access or use the site during any downtime or discontinuance of the site.","The company is not responsible for any problems you face, such as being unable to use the site, if it goes offline or is shut down."
"We reserve the right to change, modify, or remove the contents of the site at any time or for any reason at our sole discretion without notice.","The company can alter or delete content on the site whenever they want, without telling you first."
Rewards of any type may change or be revoked at any time without notice.,"Any rewards offered can be changed or canceled at any time, without any warning."
You agree to keep your password confidential and private to yourself as an individual.,You need to keep your password secret and not share it with anyone.
"By using hackerwars.io, you warrant that you have the legal capacity to agree to comply with these terms of service and use.","By using the site, you confirm that you're legally allowed to agree to and follow these terms."
You agree and acknowledge that we do not endorse the products or services offered on third-party websites and you shall hold us harmless from any harm caused by your purchase of such products or services.,The company is not responsible for anything that happens if you buy products or services from other websites linked to the site.
We reserve the right at our own discretion to make any changes or modifications at any time to the terms of service and use.,"The company can change the terms of service whenever they want, under their own judgment."
The site is provided on an as-is and as-available basis.,"The website is offered with whatever features it currently has, without any guarantees."
We cannot guarantee the site will be available at all times.,The company can't promise that the site will always be online and available.
"We reserve the right to remove, reclaim, restrict, ban, or modify your account and username at our own discretion.","The company can shut down, take back, restrict, or change your account or username whenever they decide to."
We reserve the right to modify or discontinue all or part of the site without notice at any time.,"The company can stop offering the site, or parts of it, at any time without giving you a heads-up."
"In no event will we or our staff, or representatives be liable to you or any third party for any direct, indirect, consequential, exemplary, incidental, special, or punitive damages, including lost profit, lost revenue, loss of data, or other damages arising from your use of the site, even if we have been advised of the possibility of such damages.","The company and its employees won't have to pay you or anyone else for any kind of damage or losses, like lost profits or data, resulting from using the site – even if they knew there could be issues."
hackerwars.io is a free to use website and it can be shutdown at any moment without prior notice.,Hackerwars.io can close down the site at any time and you wouldn't be warned beforehand.
