text,highlighted
"We do not provide you any benefits, workers' compensation, or insurance coverage.",0
"We may, in our sole discretion, terminate this agreement, suspend access to our website, or remove any services immediately without notice for any reason.",1
"Unless otherwise expressly agreed to by both parties in writing, you will provide full payment for all invoices issued within thirty (30) days after the mailing date of the invoice.",0
You may bring any claim arising out of your use of this website to an administrative agency but only to the extent applicable law permits access to such an agency notwithstanding the existence of an agreement to arbitrate.,0
You must send notices to us at support@imachines.com.,0
"We reserve the right to create, edit, or revoke your qualifications and skills at any time, for any reason or no reason at all.",0
"You do not have the authority to enter into any contract, written or oral, on behalf of intuition machines. notwithstanding the foregoing, if you are a u.s. taxpayer we may request from you a w-9, to be updated annually, and we may bar you from performing tasks until you have completed or updated a w-9. if you are a contributor who accesses the services and/or performs tasks through or in connection with an integrator on behalf of intuition machines (acting as a requester), intuition machines may reward you for acceptable completion of certain tasks.",0
"Compliance with the lawyou alone are responsible for complying with federal, state, provincial, and local laws in connection with your use of the services.",0
"You represent and warrant that you own sufficient right, title, and interest in and to your data in order to grant the license in this section.",0
"In the event that rewards were already dispersed to you for an unacceptably completed task, we may recover them from you. 14.",0
"In arbitration, each party will have the right to conduct adequate civil discovery, bring dispositive motions, and present witnesses and evidence as needed to present their cases and defenses, and any disputes in this regard shall be resolved by the arbitrator.",0
E-mail notices are deemed written notices for all purposes for which written notices may be required.,0
"If your subscription includes any monthly or annual fees or monthly or annual minimums, you will still be responsible for paying for all services fees through the end of that month or year, respectively. except where we terminate this customer appendix or the terms of service as a result of your breach of this customer appendix or the terms of service, if we terminate and you have prepaid any fees to us, we will refund a pro-rata portion of those prepaid amounts, based on the remaining time or services you have paid for, whichever is less.",0
"You may not without a separate written agreement with imi include tasks that violate our policies, including, but not limited to, (a) tasks that directly or indirectly promote another website or service, (b) tasks that violate a third party website's terms and conditions, (c) tasks asking contributors to solicit third parties, (d) tasks that ask contributors to take action to manipulate a website's behavior or results, (e) tasks that violate the intellectual property rights of third parties, and (f) tasks that require contributors to download software or files. 6.",0
You agree to indemnify and hold us harmless for any assessments against us because you failed to comply with any tax laws. 11.,0
Alternate physical location of employees.,0
"Requesters post tasks and invite contributors to perform them in exchange for rewards provided by imi to integrators, or as determined by the requester if the requester is using the intuition machines platform or hcaptcha service to serve tasks to their own end-users.",0
"The cost of the arbitrator and court reporter, if any, shall initially be borne by us.",0
Regulatory reporting.,0
"If you fail to pay the amount due under this agreement for any reason, your account may be suspended, at our sole discretion, in which case no additional payments will be made from your account for completion of tasks and all of your tasks will be removed from our website.",0
"Subject to the foregoing, these terms of service will be binding on each party's successors and permitted assigns. severability.",0
Thank you for being a part of our community.,0
Your obligations under this section will continue even after you deregister from or cease use of the services.,0
"Eligibility by using or registering for our services, you agree: you are at least 18 years of age.",0
"The liability of imi for any claim arising out of or in connection with this agreement shall not exceed the greater of: (a) u.s. $2,500.",1
Disputes with other users.,0
"Acceptable behavioryou are encouraged to interact with other users anywhere on our website, forum, messaging, chat, and other social media channels controlled by imi, but if you do so you must comply with all terms of service and use on our site and all relevant laws. 7.",0
"You will not be retaliated against or prevented from completing tasks on our website as a result of your exercising your rights under section 7 of the national labor relations act, or by the filing of or participation in a class, collective or representative action in any forum, but we may lawfully seek enforcement of this class action waiver, and seek dismissal of such class, collective or representative actions or claims. costs and fees.",0
"Limitation of liability in no event will we be liable for any special, consequential, incidental, exemplary or indirect costs or damages, litigation costs, installation and removal costs, or loss of data, production or profit.",0
This may include comparing your personal information against third party databases or official legal documents.,0
"However, the arbitrator shall have the discretion to award appropriate costs to the prevailing party, as provided by law, and/or to require the parties to split the costs associated with the arbitrator and/or court reporter. severability.",0
"You have the authority to enter this agreement on behalf of yourself or the entity you represent, and will at all times remain in compliance with these terms of service and all imi policies and guidelines referenced herein.",0
"All information within a task on the intuition machines platform should be considered as confidential even if the information is not expressly designated as confidential. if and when you no longer need the confidential information you received, you must promptly return or destroy (as requested by whoever disclosed the information) all copies of the information that exist on the premises, systems, or other equipment you control. because disclosing confidential information may cause irreparable harm, the disclosing party is entitled to seek injunctive relief for any breach or threatened breach of this term. 21.",0
"In particular, you will not: register for more than one account with us without written authorization ;perform any task with the use of internet bots, web robots, bots, scripts, or any other form of artificial intelligence or otherwise attempt to obtain rewards from imi or any requester or integrator without completing tasks as they are described;provide any false information while using this website (including without limitation impersonating any other person or organization in your account, or falsely stating or otherwise misrepresenting yourself or your affiliation with any other person or organization in your account;access or attempt to access our website through any proxy web server or other device designed to obfuscate your true location or identity or by any means other than the interface provided;use the website for any illegal activity, or for any purpose other than the purpose for which it was made available;engage in activity that interferes with or disrupts the functioning of the site;insert, upload, or attach malicious or unknown external links or files, or upload any content that contains a virus, trojan horse, worm, time bomb, or other harmful computer code;upload any content subject to copyright that is not your original work, unless you have permission from the rightful owner to post such content and to grant imi all of the licensed rights granted herein;engage in spamming or post any kind of publicity, attempt to get referrals, mass communication, money offers or requests, solicitation of services, advertising, marketing, nonsense messages, duplicated topics, illegal content, social website links, e-mail addresses, or instant messenger ids unless required by the task;insert external links that offer goods or services unless required by the task;otherwise engage in any malicious or fraudulent activity. 8.",0
And (b) any fees retained by imi with respect to tasks posted by a requester during the six (6) month period preceding the date of the claim.,1
"As a contributor, if you believe that problematic test questions have affected your qualifications, skills, or rewards, you may provide well-supported contentions describing of problematic test questions via the task interface or via a ticket in our support system, for example via email at support@hcaptcha.com. 15.",0
(b) we believe you have violated our rights or the rights of any third party.,0
"Alternative communications with customers, employees, and oversight bodies.",0
"Your privacy, your data, and ""data for all""you accept our privacy policy, which governs what we will do with any personal information you give to us.",0
"Platform order formsyou may have completed one or more platform access order forms (each, an ""order form"") as a condition of becoming a customer or requester.",0
"If the significant business disruption is so severe that it prevents us from remaining in business, we will notify you expeditiously.â for more information â if you have questions about our business continuity planning, you can contact us at support@hcaptcha.com. â",0
"They include, among other provisions, disclaimers of warranties, limitations of liability, and binding arbitration.",0
"Please contact us at support@hcaptcha.com if you have any questions regarding these terms of service. â business continuity planning statement intuition machines, inc has developed a business continuity plan on how we will respond to events that significantly disrupt our hcaptcha business.",0
"Contributor dispute resolutionif you are a contributor, you agree to the following arbitration clause and class action waiver: alternative dispute resolution required.",0
"Scheduled and unscheduled interruptions may occur, and we do not warrant uninterrupted availability of our website. 24.",0
"Disclaimer of warranty the services are provided on an ""as is"" basis.",0
"If you are granted access to any such confidential information, we may modify, suspend, or limit your access to our services in our sole discretion if we determine that confidential information is being exposed by your use of our services, and we will use reasonable efforts to provide you notice prior to suspension. 6.",0
"Except for the class action waiver, if any term or provision, or portion of this arbitration clause is declared void or unenforceable it will be severed and the remainder of the arbitration clause will be enforceable. 26.",0
"Apiyou may be required to integrate your website, application, or platform with our services via our application programming interface (""api"").",0
Copyright and takedownimi respects the intellectual property of others and we reserve the right to remove from our site any material that we believe may violate the intellectual rights of any third party.,0
"We aggregate customer data with other data so that results are non-personally identifiable and we also collect de-identified technical logs and data regarding use of the services (""aggregate/de-identified data"").",0
"In either situation, we plan to continue in business, transfer operations to alternative suppliers if necessary, and notify you through our website at hcaptcha.com and our status page at hcaptchastatus.com as to how to contact us.",0
"If any provision of these terms of service is found invalid or unenforceable for any reason, it will not affect the validity and enforceability of any remaining provisions. notice.",0
"Within each of these areas, the severity of the disruption can also vary from minimal to severe.",0
We are not responsible for any expenses you incur in using our website.,0
"You agree that for any dispute that arises out of or relates to your use of the services, including any dispute that may have arisen from the time that you began performing tasks for imi, and specifically including any claim related to whether or not you classify as an independent contractor, you will first notify imi of your claim against it.",0
"Resolution of the dispute shall be based solely upon the law governing the claims and defenses pleaded, and the arbitrator may not invoke any basis other than such controlling law.",0
You are free to spend as much or as little time completing tasks as you choose.,0
"We charge companies and individuals (each a ""customer"") for use of our platform so that they may use our software, author tasks, hire us to author tasks, and/or gain access to the contributors.",0
"In the event that you do so, we grant you a limited, nonexclusive, nontransferable, nonassignable, revocable license to use the api solely to access the services.",0
We may modify the api and/or cease support of old versions or releases of the api at any time.,0
"If you believe that your own work has been copied in a way that constitutes copyright infringement on this website, please contact intuition machines customer support. 18.",0
The arbitration may take place at any other location if agreed to by every party in writing.,0
""" 2.",0
You give up your right to trial by jury of any claim you may have against imi or that imi may have against you.,0
Please note that these terms of service may have changed since your last visit to our website.,0
"You authorize us to make any inquiries necessary to confirm your identity, your ownership of your email address, and your ownership of your financial accounts.",0
We will wind up our work in a commercially reasonable manner and preserve and deliver to you all paid-for output data sets and all customer data in our possession.,0
"Contributor or integrator taxesif you are a contributor or integrator, you alone are responsible for payment of any estimated or other federal, state, or local income taxes, social security, fica, and workers' compensation owed as a result of use of our website, as well as similar taxes or charges in non-u.s. jurisdictions.",0
You remain liable upon termination for any amount due under your order form.,0
"If you are not a customer or requester, or cease to be a customer or requester, then the additional terms in the customer appendix will not apply nor will they be incorporated by reference into these terms of service.",1
"Any arbitration proceeding under this section will take place by default within the state of california, unless you reside outside the united states, in which case the arbitration will take place entirely electronically or telephonically.",0
"Unacceptable completion of tasksif, for any reason, the requester does not accept performance of a task you completed, you as a contributor or integrator will not be entitled to any reward for the task.",0
"Such administrative claims include without limitation claims or charges brought before the equal employment opportunity commission, the u.s. department of labor, and the national labor relations board.",0
"Applicable law the laws of the state of california govern these terms of service and any controversy, dispute, or claim arising from them. 27.",0
"Nothing in this clause shall be deemed to preclude or excuse you from bringing an administrative claim before any agency in order to fulfill your obligation to exhaust administrative remedies before making a claim in arbitration, however, you waive the right to any monetary award through this such agency proceedings. location of arbitration.",0
