text,highlighted
These terms of service will be governed by the laws of the state of california without regard to its conflict of law provisions.,0
"You acknowledge and agree that the company may preserve content and may also disclose content if required to do so by law or in the good faith belief that such preservation or disclosure is reasonably necessary to: (a) comply with legal process, applicable laws or government requests.",0
"You also may be subject to additional terms and conditions that may apply when you use affiliate or third-party services, third-party content or third-party software.",0
"If we modify these terms of service, we will post the modification on the site or provide you with notice of the modification by email or through the services.",0
Ii.,0
"Violate any applicable local, state, national or international law, or any regulations having the force of law.",0
Ix.,0
"D. copyright complaints (dmca notice): the company respects the intellectual property of others, and we ask our users to do the same.",0
"(ii) the cost of procurement of substitute goods and services resulting from any goods, data, information or services purchased or obtained or messages received or transactions entered into through or from the service.",0
All such terms are hereby incorporated by reference into these terms of service.,0
"This release includes, without limitation, any claim resulting from delay and the criminal acts of others.",0
Or (v) any other matter relating to the service.,0
The arbitration must commence within forty-five (45) days of the date on which a written demand for arbitration is filed by either party.,0
The following are examples of the kind of content and/or use that is illegal or prohibited by the company.,0
The company will process and investigate notices of alleged infringement and will take appropriate actions under the digital millennium copyright act (âdmcaâ) and other applicable intellectual property laws with respect to any alleged or actual infringement.,1
C. your registration obligations: you may be required to register with the company in order to access and use certain features of the service.,0
"6) export control you may not use, export, re-export, import, or transfer the service except as authorized by united states law, the laws of the jurisdiction in which you obtained the service, and any other applicable laws.",0
"4) third party websites the service may provide, or third parties may provide, links or other access to other sites and resources on the internet.",0
"E) counter-notice: if you believe that your user content that was removed (or to which access was disabled) is not infringing, or that you have the authorization from the copyright owner, the copyright ownerâs agent, or pursuant to the law, to upload and use the content in your user content, you may send a written counter-notice containing the following information to the copyright agent: â· your physical or electronic signature.",1
"You are responsible for those fees, including those fees associated with the display or delivery of advertisements.",0
You agree to not use the service to: i. email or otherwise upload any content that (i) infringes any intellectual property or other proprietary rights of any party.,0
"Commercial use: unless otherwise expressly authorized herein or in the service, you agree not to display, distribute, license, perform, publish, reproduce, duplicate, copy, create derivative works from, modify, sell, resell, exploit, transfer or upload for any commercial purposes, any portion of the service, use of the service, or access to the service.",0
The limitations of damages set forth above are fundamental elements of the basis of the bargain between the company and you.,0
"You agree that you must evaluate, and bear all risks associated with, the use of any content.",0
"Nothing in this terms of service or the service should be construed as granting, by implication, estoppel, or otherwise, any license or right to use any of the company trademarks displayed on the service, without our prior written permission in each instance.",0
A notification of claimed copyright infringement should be emailed to the companyâs copyright agent at legal@airfind.com (subject line: âdmca takedown requestâ).,1
Registration data and certain other information about you are governed by our privacy policy located at http://airfind.com/privacy/.,0
Â· a description of the copyrighted work or other intellectual property that you claim has been infringed.,0
"The company reserves the right to investigate and take appropriate legal action against anyone who, in the companyâs sole discretion, violates this provision, including without limitation, removing the offending content from the service, suspending or terminating the account of such violators and reporting you to the law enforcement authorities.",0
"The company makes no claims or promises about the opinions, advice, statements, reviews, or other information or content made available on the site or through the services or social networking services by users, or the accuracy, completeness, usefulness of any information on the site or available through the services or social networking services.",0
"5) social networking services you may enable or log in to the service via various online third party services, such as social media and social networking services like facebook or twitter (âsocial networking servicesâ).",0
"In the event you change or deactivate your mobile telephone number, you agree to promptly update your the company account information to ensure that your messages are not sent to the person that acquires your old number.",0
"Â if you are a resident of another jurisdiction, you waive any comparable statute or doctrine.",0
"You assume, and we hereby disclaim, all responsibility for any of the content on these sites or for any damage sustained by users of these sites.",0
"The company makes no warranty that (i) the service will meet your requirements, (ii) the service will be uninterrupted, timely, secure, or error-free, (iii) the results that may be obtained from the use of the service will be accurate or reliable, or (iv) the quality of any products, services, information, or other material purchased or obtained by you through the service will meet your expectations. 9) limitation of liability you expressly understand and agree that the company will not be liable for any indirect, incidental, special, consequential, exemplary damages, or damages for loss of profits including but not limited to, damages for loss of goodwill, use, data or other intangible losses (even if the company has been advised of the possibility of such damages), whether based on contract, tort, negligence, strict liability or otherwise, resulting from: (i) the use or the inability to use the service.",0
"In addition, you must provide and are responsible for all equipment necessary to access the services.",0
"You may not assign this terms of service without the prior written consent of the company, but the company may assign or transfer this terms of service, in whole or in part, without restriction.",0
1) access and use of the service a.,0
"F. general practices regarding use and storage: you acknowledge that the company may establish general practices and limits concerning use of the service, including without limitation the maximum period of time that data or other content will be retained by the service and the maximum storage space that will be allotted on the companyâs servers on your behalf.",0
"The arbitrator will not have the power to award damages in excess of the limitation on actual compensatory, direct damages set forth in the terms of service and may not multiply actual damages or award punitive damages or any other damages that are specifically excluded under the terms of service, and each party hereby irrevocably waives any claim to such damages.",0
"With respect to any disputes or claims not subject to arbitration, as set forth above, you and the company agree to submit to the personal and exclusive jurisdiction of the state and federal courts located within san francisco county, california.",0
"However, please remember that the manner in which social networking services use, store and disclose your information is governed solely by the policies of such third parties, and the company shall have no liability or responsibility for the privacy practices or other actions of any third party site or service that may be enabled within the service.",0
"To the extent you access the service through a mobile device, your wireless service carrierâs standard charges, data rates and other fees may apply.",0
"Further, you agree that the company will not be liable to you or any third party for any termination of your access to the service. 12) user disputes you agree that you are solely responsible for your interactions with any other user in connection with the service and the company will have no liability or responsibility with respect thereto.",0
Iv.,0
2) conditions of use a.,0
The company name and logos are trademarks and service marks of the company (collectively the âthe company trademarksâ).,0
"Unless otherwise agreed by the parties, arbitration will be held in san francisco, california before a single arbitrator mutually agreed upon by the parties, or if the parties cannot mutually agree, a single arbitrator appointed by jams, and will be conducted in accordance with the rules and regulations promulgated by jams unless specifically modified in the terms of service.",0
"(iv) statements or conduct of any third party on or through the service, including as a result of communications or meeting with users of the service.",0
The company will not be liable for any loss or damage arising from your failure to comply with this section.,0
"You understand that the technical processing and transmission of the service, including your content, may involve (a) transmissions over various networks.",0
"You agree not to copy, modify, create a derivative work of, reverse engineer, reverse assemble or otherwise attempt to discover any source code, sell, assign, sublicense, or otherwise transfer any right in the software.",0
"Airfind terms of servicees welcome to airfind airfind corp (âairfind, âwe,â âus,â âourâ, âthe companyâ) provides its services to you through its website located at www.",0
"If you are dissatisfied with any portion of the service or with these terms of service, your sole and exclusive remedy is to discontinue use of the service. 10) arbitration at the companyâs or your election, all disputes, claims, or controversies arising out of or relating to the terms of service or the service that are not resolved by mutual agreement may be resolved by binding arbitration to be conducted before jams, or its successor.",0
"(iii) contains software viruses or any other computer code, files or programs designed to interrupt, destroy or limit the functionality of any computer software or hardware or telecommunications equipment.",0
"As part of such integration, the social networking services will provide us with access to certain information that you have provided to such social networking services, and we will use, store and disclose such information in accordance with our privacy policy.",0
"In connection with your use of the service you will not engage in or use any data mining, robots, scraping or similar data gathering or extraction methods.",0
"C. user content transmitted through the service: with respect to the content or other materials you upload through the service or share with other users or recipients (collectively, âuser contentâ), you represent and warrant that you own all right, title and interest in and to such user content, including, without limitation, all copyright and rights of publicity contained therein.",0
"The company may also at its sole discretion limit access to the service and/or terminate the memberships of any users who infringe any intellectual property rights of others, whether or not there is any repeat infringement.",0
We will also update the âlast updated dateâ at the top of these terms of service or on the site or in the services.,0
"Â· a statement by you, made under penalty of perjury, that the above information in your notice is accurate and that you are the copyright or intellectual property owner or authorized to act on the copyright or intellectual property ownerâs behalf.",0
"You agree to (a) immediately notify the company of any unauthorized use of your password or account or any other breach of security, and (b) ensure that you exit from your account at the end of each session when accessing the service.",0
"Impersonate any person or entity, or falsely state or otherwise misrepresent your affiliation with a person or entity.",0
"If a counter-notice is received by the copyright agent, the company will send a copy of the counter-notice to the original complaining party informing that person that it may replace the removed content or cease disabling it in 10 business days.",0
"In addition, when using certain services, you will be subject to any additional terms applicable to such services that may be posted on the service from time to time, including, without limitation, the privacy policy located at http://airfind.com/privacy/.",0
"E. modifications to service: the company reserves the right to modify or discontinue, temporarily or permanently, the service (or any part thereof) with or without notice.",0
"You may also contact us by mail at: airfind corp 3401 n. miami ave, suite 230 miami, fl 33127 to be effective, the notification must be in writing and contain the following information: â· an electronic or physical signature of the person authorized to act on behalf of the owner of the copyright or other intellectual property interest.",0
