Highlight,Summary
"unless stated differently for your country in section 14, we may temporarily or permanently suspend or terminate your account or impose limits on or restrict your access to parts or all of the services at any time, without notice and for any reason, including, but not limited to, violation of these terms, court order, or inactivity.",Your account can be suspended or terminated at any time without notice for any reason.
"if you do not accept the offer and the arbitrator awards you an amount of money that is more than our offer but less than $5,000, we agree to: (a) pay you $5,000 instead of the lower amount awarded, (b) pay your reasonable attorney s fees and costs, and (c) reimburse any arbitration filing fees and arbitrator fees and expenses incurred in connection with the arbitration of your dispute.","If you win a legal case against us but get less than $5,000, we will pay you $5,000 plus cover your legal fees."
"you may stop using the services at any time, but your continued use of or subscription to a service after the effective date of any modifications to the terms or the means that you agree to the terms as modified",Continuing to use our services after changes to our terms means you accept the changes.
we use auto-renewal for many of our fee-based services.,We automatically renew subscription services and charge you unless you cancel.
"at the expiration of each subscription term for such fee-based services, we will automatically renew your subscription and charge the credit card or other payment method you have provided to us, unless you cancel your subscription at least 48 hours before the end of the current period.",We will automatically renew and charge you for subscription-based services unless you cancel before the renewal.
if you are under the minimum age (as defined for your region in section 14) you may not register for an account.,"You must be old enough, as defined by your country, to create an account."
"if you do not bring them to our attention within 90 days, you agree that you waive your right to dispute such problems or discrepancies",You have 90 days to report billing issues to us or you give up the right to dispute them.
"we may offer you free trials, so that you may try a fee-based service subscription without charge or obligation (free trial).",We might let you try a subscription service for free for a limited time.
"and (b) permit other users to access, reproduce, distribute, publicly display, prepare derivative works of, and publicly perform your content via the services, as may be permitted by the functionality of those services (e.g., for users to re-blog, re-post or download your content).",You let other users interact with your content according to the service's features.
"we, in our sole discretion, may change, discontinue or terminate any or all aspects of a fee-based service without notice, including access to support services, content and other products or services ancillary to the fee-based service, subject to providing an appropriate refund for any portions of a specified but no longer available term.","We may change, stop, or add limits to our services without notice, except we will refund part of your fee if we stop a service."
"in addition, individual proceedings cannot be combined without the consent of all of the parties.",Group lawsuits are not allowed without everyone's agreement.
"if we permanently suspend or terminate your account, we will notify you in advance and allow you reasonable time to access and save information, files, and content associated with your account unless we have reason to believe that continued access to your account will violate applicable legal provisions, requests by law enforcement or other government agencies, or cause damage to us or to third parties","If we lock or delete your account, we'll tell you in advance and let you get your data, unless doing so would break the law."
"terminating accounts we are constantly innovating, changing and improving the services.",We're always trying to improve our services and might change them without notice.
you may cancel and delete your aol account at any time by clicking here and you may cancel and delete your yahoo account by clicking here.,You can delete your accounts with us at any time.
you must notify us about any billing problems or discrepancies within 90 days after they first appear on your billing method statement.,Tell us within 90 days about billing problems or you won't be able to dispute them.
"unless stated differently for your country in section 14, we may, without notice, add or remove functionalities or features, create new limits to the services, or temporarily or permanently suspend or stop a service.",We can change or stop services at any time without notice.
you can stop using the services at any time.,You're free to stop using our services whenever you want.
"you and us both agree to resolve any and all disputes, controversies or claims that in any way arise out of or relate to these terms or from any services you receive from us (or from any advertising for any such services), including any disputes between you and our employees or agents ( dispute(s) ), only by arbitration on an individual basis or in small claims court.",Any problems or disagreements that come up from these terms or our services will be settled by arbitration or in small claims court.
"we may charge for fee-based services in advance and on a daily, monthly, yearly, lump sum, or other basis in accordance with the stated terms, as long as your subscription remains active, even if you have not downloaded or used the service or accessed your online account",We can charge for our services in different ways and you'll owe money for as long as your account is active.
"if you are using the services on behalf of a company, business or other entity, you represent that you have the legal authority to accept these terms on behalf of that entity, in which case that entity accepts these terms, and you means that entity.","If you're using our services for a company, you need to have the right to agree to these terms for that company."
"despite subsection (f) above and without prejudice to your statutory rights, we may, without notice, temporarily or permanently suspend or cancel your account or impose limits on or restrict your access to parts or all of your account or the services: if you violate, or we believe you are about to violate, the terms, including any incorporated agreements, policies or guidelines in response to requests by law enforcement or other government agencies under valid legal process due to unexpected technical or security issues or problems.",Your access to services or your account can be suspended or limited without prior notice.
"we may, but are not obligated to, make a written settlement offer anytime before or during arbitration.",We might offer a written settlement during arbitration.
"despite section 9, we accept responsibility for fraudulent representations made by us or if you are injured or die as a direct result of our negligence in connection with the services","If we lied to you or you got hurt because of us, we're responsible."
using the services does not give you ownership of any intellectual or other property rights or interests in the services or the content you access.,Using the services doesn't make you the owner of any intellectual property rights in the services.
"your use of the services, including content within the services, is at your own risk and we do not represent, promise, or warrant that the services will be uninterrupted, timely, secure, or error-free.","We can't promise that our services will be uninterrupted, secure, or error-free."
"verizon media entities are not responsible for any lost profits, lost revenues, lost business opportunities, diminution in value, including any alleged loss or diminution in value of personal information, or any other losses (collectively, losses ) arising from or in connection with these terms or your use of or access to the services, including, but not limited to, losses resulting from or in connection with: the deletion of, alteration of, mis-delivery of, or failure to store data maintained or transmitted by the services.","We're not responsible for lost profits, revenues, or data, or financial losses."
"for modifications to these terms or the services that we need to make in order to meet security, safety, legal or regulatory requirements, we may not be able to notify you in advance, but we will let you know as soon as practicable after such modification is made",We may update these terms without prior notice due to legal or regulatory reasons and will let you know sooner.
"if either you or we intend to arbitrate under these terms, the party seeking arbitration must first notify the other party of the dispute in writing at least 30 days in advance of initiating the arbitration.","Before going to arbitration over a dispute, you must let us know about it in writing 30 days in advance."
you must follow any guidelines or policies associated with the services.,You need to follow any guidelines or policies associated with the services.
you are responsible for all activity that happens on or through your account.,You're responsible for what happens with your account.
"feedback you agree that any recommendation, idea, proposal, suggestion, feedback or other input ( feedback ) you submit to us related to our products, services, websites, apps, or technology may be used by us without any notice, obligation, restriction, reimbursement or compensation to you and you waive (or agree not to enforce) any and all rights that may now or in future exist (including moral and equivalent rights) in any feedback",Any suggestions or feedback you give us about our services can be used by us without any obligation to you.
we prohibit sending unsolicited emails or messages using our services.,Sending spam through our services is not allowed.
"if you are not satisfied with a particular fee-based service, you must cancel the subscription before the free trial ends to avoid charges.","If you don't cancel a free trial service, you'll be charged when the trial ends."
"all charges are nonrefundable unless provided otherwise in the terms you agree to when you register for a fee-based service, unless stated differently for your country in section 14 or as otherwise specified below","All charges are final and nonrefundable, except as required by law or stated otherwise in specific terms."
"unless otherwise stated and unless you cancel your subscription prior to the expiration of the free trial, periodic subscription fees will be charged at the then-applicable rate upon expiration of the free trial period and will continue to be charged until the subscription is canceled.","Unless you cancel it, your subscription will be charged after a free trial."
you authorize and direct us to retain all information about any payment method(s) associated with your account.,"We keep information about your payment method, even if you cancel the service."
we may change our fees and billing methods at any time.,We might change our fees and billing methods at any time.
"you represent and warrant that you: (1) are not a prohibited party identified on any government export exclusion lists (see e.g., http://www.bis.doc.gov/complianceandenforcement/liststocheck.htm).",You must follow all laws related to the control of exports and re-exports.
many of the services enable you to submit content.,You can add content to some of our services and you're responsible for that content.
"you agree to pay us for any fee-based services you purchase from us, as well as all other charges incurred under your account, including applicable taxes and fees.",You agree to pay us for any services you purchase from us and for any other charges that come up under your account.
your continued use of the services after the effective date of any such modifications means that you agree to the services or the terms as modified,"By continuing to use the services after we make changes, you are saying that you accept those changes."
