Highlighted Clause,Plain Language Summary
Tryhackme will store all the personal information you provide on its secure servers.,Tryhackme will keep your personal data secure on its servers.
"If you do not agree with any of these terms, you are prohibited from using or accessing this site.",You can't use the site if you don't agree with the Terms of Service.
In no event shall tryhackme or its suppliers be liable for any damages arising out of the use or inability to use the materials on tryhackme's website.,Tryhackme is not legally responsible for any harm or losses that come from using or not being able to use their website.
your continued use of our website will be regarded as acceptance of our practices around privacy and personal information.,"If you keep using the site, it means you agree to how they handle your privacy and personal data."
This policy is effective as of 10 October 2018.,"The privacy policy became valid starting on October 10, 2018."
We only retain collected information for as long as necessary to provide you with your requested service.,Tryhackme only keeps your data for as long as needed to give you the services you asked for.
You have the right to request that tryhackme correct any information you believe is inaccurate.,You can ask Tryhackme to fix any personal data you think is wrong.
This license shall automatically terminate if you violate any of these restrictions and may be terminated by tryhackme at any time.,Your permission to use the site can end automatically or be ended by Tryhackme if you break any rules.
Tryhackme may revise these terms of service for its website at any time without notice.,"Tryhackme can change the Terms of Service whenever they want, without telling you first."
Use of any such linked website is at the user's own risk.,Tryhackme is not responsible for any harm or losses that might happen when you use websites linked to theirs.
"These terms and conditions are governed by and construed in accordance with the laws of London, United Kingdom.","Any legal issues related to the site will be dealt with under the laws of London, UK."
All payments are final.,"Once you make a payment on Tryhackme, it cannot be refunded."
we use hotjar to ensure that we can enhance users' experience by understanding how exactly they interact with the user interface.,Tryhackme uses a service called Hotjar to watch how users use the site to make it better.
The materials on tryhackme's website are provided on an 'as is' basis.,"Information and materials on Tryhackme's site are offered as they are, without any guarantees."
We reserve the right to offer a refund.,"Tryhackme can decide to give refunds in certain situations, at their choice."
