Highlight,Summary
"goodreads makes no representations or warranties of any kind, express or implied, as to the operation of the service, or the information, content, materials, products (including software) or other services included on or otherwise made available to you through the service, unless otherwise specified in writing.",Goodreads doesn't guarantee the service works perfectly and as described.
"this agreement, and any rights and licenses granted hereunder, may not be transferred or assigned by you, but may be assigned by goodreads without restriction.",Goodreads can give away your rights under this agreement without asking you.
"license grant by posting any user content on the service, you expressly grant to goodreads a nonexclusive, royalty-free, perpetual, irrevocable, and fully sublicensable right to use, reproduce, modify, adapt, publish, perform, translate, create derivative works from, distribute, and display such content throughout the world in any media.",Goodreads can use your content in many ways without paying you.
certain state laws do not allow limitations on implied warranties or the exclusion or limitation of certain damages.,Some states may not allow Goodreads to limit its warranties or liability.
you are solely responsible for your user content.,You are the only one responsible for your posts on Goodreads.
"upon termination for any reason or no reason, you continue to be bound by this agreement.","Even if you stop using Goodreads, this agreement still applies to you."
you agree to notify goodreads immediately of any breach of security or unauthorized use of your account.,Tell Goodreads right away if you think someone used your account without permission.
"we reserve the right, but have no obligation, to monitor disputes between you and other users.",Goodreads can overlook user conflicts without stepping in.
"you agree to those terms by entering into this agreement or using a kindle, any reading application, or the service.",Use of Goodreads on a Kindle or with certain apps means you agree to these terms.
"our proprietary rights except for your user content, the service and all materials therein or transferred thereby, including, without limitation, software, images, text, graphics, illustrations, logos, patents, trademarks, service marks, copyrights, photographs, audio, videos, music, and user content (the goodreads content), and all intellectual property rights related thereto, are the exclusive property of goodreads and its licensors.","Everything on Goodreads, except what you post, belongs to Goodreads."
(v) any claim or damages that arise as a result of any of your user content or any that are submitted via your account.,You may have to pay if your content causes a problem or if posted through your account.
"except as explicitly provided herein, nothing in this agreement shall be deemed to create a license in or under any such intellectual property rights, and you agree not to sell, license, rent, modify, distribute, copy, reproduce, transmit, publicly display, publicly perform, publish, adapt, edit or create derivative works from any materials or content accessible on the service.",You can't reuse Goodreads content for your own purposes without explicit permission.
you understand and agree that any loss or damage of any kind that occurs as a result of the use of any user content that you post is solely your responsibility.,"If your posted content causes issues, you are responsible for it."
by providing goodreads your email address you consent to our using the email address in accordance with our privacy policy.,Giving your email to Goodreads means they can use it according to their privacy policy.
