text,highlighted
"Reservation of rights the wickr services and all content, visual interfaces, information, graphics, design, compilation, computer code, products, software, trademarks, service marks, trade names and services are the property of wickr or its subsidiaries or affiliated companies and/or third- party licensors.",0
Itâs impossible for us to do this as data is encrypted and we canât read it] 2.,0
Prohibited conduct &amp.,0
Account information wickr will not be liable for any damages or liability resulting from your account information.,0
"To the maximum extent permitted by applicable law, wickr, and its suppliers and partners, disclaim all warranties, express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, and non- infringement of proprietary rights.",0
Guidelines to individual features and services wickrâs privacy policy is hereby incorporated into this agreement by reference.,0
"Wickr and its suppliers and partners do not warrant that the functions contained in the wickr services will be uninterrupted or error-free, that defects will be corrected, that the wickr services or the server that makes them available are free of harmful components or that the wickr services will meet your requirements.",0
"Subject to the terms of this agreement, wickr grants you a personal, non- exclusive, non-transferable and non-sublicensable license to use the wickr services solely for your personal or internal business purposes.",1
"A waiver by either party of any term or condition of this agreement or any breach thereof, in any one instance, will not waive such term or condition or any subsequent breach thereof.",0
"Please read this privacy policy carefully for disclosures relating to the collection, use, and disclosure of your personal information.",0
"Except for the express license granted to you, no right, title, interest or license to the wickr services is granted to you, whether by implication, or otherwise. 3.",0
"If you do not agree to this terms of service, please cease using the wickr services immediately. you acknowledge and agree that this contract is only between you and wickr and not any of wickrâs partners, distributors, promoters or service providers (collectively, âdistributorsâ).",0
"Or to sell, transfer or allow another person to access your account password or wickr services account. 9.",0
"Or for the purpose of spamming others. to impersonate others in a manner that does or is intended to mislead, confuse, or deceive others; to remove, circumvent, disable, damage or otherwise interfere with security features of the wickr services, including any technical measures we may use to prevent or restrict unauthorized access to the wickr services, features that prevent or restrict use or copying of any content accessible through the wickr services, or features that enforce limitations on use of the wickr services; to intentionally interfere with or damage operation of the wickr services or any userâs enjoyment of them, including by uploading or disseminating viruses, worms, or other malicious code; to use any robot, spider, scraper or other automated means to access the wickr services without our express written permission; to modify the wickr services in any manner or form.",0
Restrictions you acknowledge and agree that you will not: (a) reproduce or attempt to reproduce the wickr software.,0
Usage rules.,0
This agreement will not be governed by the united nations convention on contracts for the international sale of goods.,0
"Any and all changes to this agreement will be posted on the wickr.com site, and you agree to be bound by any changes to the terms of service when you continue to use the wickr services after those changes are posted. 7.",0
Violations.,0
"If any dispute arises under this agreement, the prevailing party will be reimbursed by the other party for any and all legal fees and costs associated therewith.",0
Indemnification.,0
"You may use the wickr software for one wickr services subscription account on up to ten mobile devices legally under your control, for your personal or internal business use.",0
Wickr does not endorse or make any representations regarding any such linked sites or the any information or materials accessible through other linked sites.,0
"When you submit user data to wickr, you hereby grant to wickr, a non- exclusive, royalty-free, worldwide license to distribute your user data through the wickr service on your behalf solely for the purpose of providing the secure messaging service.",0
"Use, duplication, or disclosure of the wickr software by the u.s. government is subject to restrictions set forth in this agreement and as provided in dfars 227.7202-1(a) and 227.7202-3(a) (1995), dfars 252.227-7013(c)(1)(ii) (oct 1988), far 12.212(a) (1995), far 52.227-19, or far 52.227-14 (alt iii), as applicable. 11.",0
