Highlighted Clause,Plain Language Summary
These terms of service will be governed by the laws of the state of california without regard to its conflict of law provisions.,"The rules in this document are based on California law, ignoring any conflicts with laws from other areas."
"You acknowledge and agree that the company may preserve content and may also disclose content if required to do so by law or in the good faith belief that such preservation or disclosure is reasonably necessary to: (a) comply with legal process, applicable laws or government requests.",The company can keep or share your content if it's necessary to follow the law or government requests.
"If we modify these terms of service, we will post the modification on the site or provide you with notice of the modification by email or through the services.","If the company changes these terms, they'll tell users through the website, an email, or their services."
"The company reserves the right to investigate and take appropriate legal action against anyone who, in the company's sole discretion, violates this provision, including without limitation, removing the offending content from the service, suspending or terminating the account of such violators and reporting you to the law enforcement authorities.","The company can take action against users who break the rules, including removing content, suspending or banning accounts, and reporting to law enforcement."
The limitations of damages set forth above are fundamental elements of the basis of the bargain between the company and you.,Limiting how much users can ask for in damages is a key part of the agreement users make with the company.
You agree that the company will not be liable to you or any third party for any termination of your access to the service.,The company isn't responsible if your service access is cut off.
"The company makes no warranty that (i) the service will meet your requirements, (ii) the service will be uninterrupted, timely, secure, or error-free.","The company doesn't guarantee that the service will meet all your needs, work all the time, be safe, or be free from mistakes."
"You expressly understand and agree that the company will not be liable for any indirect, incidental, special, consequential, exemplary damages, or damages for loss of profits.",The company won't have to pay for certain kinds of problems or lost profits resulting from the service.
"The company reserves the right to modify or discontinue, temporarily or permanently, the service (or any part thereof) with or without notice.","The company can change or stop the service at any time, without telling users in advance."
"All disputes, claims, or controversies arising out of or relating to the terms of service or the service that are not resolved by mutual agreement may be resolved by binding arbitration.","If there's a disagreement about these terms or the service, it might have to be settled by arbitration instead of in court."
The arbitration must commence within forty-five (45) days of the date on which a written demand for arbitration is filed by either party.,"Once someone asks for arbitration, it needs to start within 45 days."
"To the extent you access the service through a mobile device, your wireless service carrier's standard charges, data rates and other fees may apply.",You might have to pay your phone company for using the service on your mobile device.
"The arbitrator may, in his or her discretion, assess costs and expenses (including the reasonable legal fees and expenses of the prevailing part) against any party to a proceeding.",The winning side in arbitration might get their legal costs paid by the other side.
"The company may also at its sole discretion limit access to the service and/or terminate the memberships of any users who infringe any intellectual property rights of others, whether or not there is any repeat infringement.","The company can limit service or end the accounts of users who break intellectual property rights, even if it's their first time."
"By using the service, you consent to our collection and use of personal data as outlined therein.","By using this service, you agree to let the company collect and use your personal information as described."
"The service is provided on an ""as is"" and ""as available"" basis.",The service is offered just as it is and only when it's available.
"The company expressly disclaims all warranties of any kind, whether express, implied or statutory, including, but not limited to the implied warranties of merchantability, fitness for a particular purpose, title and non-infringement.",The company doesn't make any promises about the service's quality or suitability for specific uses.
"You agree to release, indemnify and hold the company and its affiliates and their officers, employees, directors, stockholders and agents harmless from any from any and all losses, damages, expenses, including reasonable attorneys’ fees, rights, claims, actions of any kind and injury (including death) arising out of or relating to your interaction with any other user, use of the service, any user content, your connection to the service, resulting from your use of the service or site, your violation of these terms of service or your violation of any rights of another.","You can't hold the company responsible for problems or damages from using the service, interacting with others, or breaking these terms."
You agree that the company has no responsibility or liability for the deletion or failure to store any data or other content maintained or uploaded to the service.,The company isn't responsible if your data or content gets deleted or lost.
"If the modified terms of service are not acceptable to you, your only recourse is to cease using the services.","If you don't like changes to these terms, you can only stop using the service."
For details please see our privacy policy located at http://airfind.com/privacy/.,"For more information on privacy, check the privacy policy on their website."
