Highlighted Clause,Plain Language Summary
"Limitation of liability (a) open collective and the other open collective parties will not be liable to you under any theory of liability—whether based in contract, tort, negligence, strict liability, warranty, or otherwise—for any indirect, consequential, exemplary, incidental, punitive or special damages or lost profits, even if open collective or the other open collective parties have been advised of the possibility of such damages.","Open Collective and related parties are not responsible for certain losses or damages such as lost profits or incidental damages that you might claim from using their services, even if they are aware that such losses could occur."
"(b) the total liability of open collective and the other open collective parties, for any claim arising out of or relating to these terms or our platform, regardless of the form of the action, is limited to the amount paid, if any, by you to access or use our platform during the 12 months immediately preceding the event giving rise to your claim.",The maximum amount you could hold Open Collective responsible for is limited to what you've paid to use the platform in the 12 months before your claim.
"(c) the limitations set forth in this section will not limit or exclude liability for the gross negligence, fraud or intentional, willful, malicious or reckless misconduct of open collective or the other open collective parties.","The restrictions on liability mentioned do not apply if there's proof of gross negligence, fraud, or deliberate wrongdoing by Open Collective or related parties."
"By creating an account or otherwise accessing the platform, you agree to these terms.","When you create an account or use the platform, you're agreeing to all of these terms of service."
"Termination or suspension we reserve the right, without notice and in our sole discretion, to terminate or suspend your account or your right to access or use our platform.",Open Collective can end or suspend your account or access to the platform at any time without giving you notice.
Changes to these terms we may make changes to these terms from time to time.,Open Collective can change these terms of service whenever they need to.
"Binding arbitration for u.s. residents if you are a resident of the u.s. this section 21 applies. (a) except for small claims disputes in which you or open collective seek to bring an individual action in small claims court located in the county of your billing address or disputes in which you or open collective seeks injunctive or other equitable relief for the alleged unlawful use of intellectual property, you and open collective waive your rights to a jury trial and to have any dispute arising out of or related to these terms or our platform resolved in court.","If you're a U.S. resident, you can't sue Open Collective in most cases. You or Open Collective may resolve disputes through small claims court or seek orders from the court to stop someone from doing something illegal with intellectual property."
"To the fullest extent permitted by applicable law, you release open collective and the other open collective parties from responsibility, liability, claims, demands, and/or damages (actual and consequential) of every kind and nature, known and unknown (including, but not limited to, claims of negligence), arising out of or related to disputes between users and the acts or omissions of third parties.","You let go of all claims against Open Collective related to issues between users or things third parties did or didn't do, to the maximum extent allowed by law."
"Disclaimers (a) we do not control, endorse or take responsibility for any user content or third-party content available on or linked to by our **platform.",Open Collective isn't responsible for what users post or any third-party content linked to their platform.
"Our platform is provided ""as is"" and “as available” without warranties of any kind, either express or implied, including, but not limited to, implied warranties of merchantability, fitness for a particular purpose, title, and non-infringement.","Open Collective doesn't make any guarantees about the platform; it's offered in its current state without any promises of quality, suitability, or non-violation of rights."
